baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption
D_QUALITY_ONLY,504d,111,17,1.7298302489015431,1.095941324318149,0.954954954954955,0.993907305200689,0.40463051177330644,2.04167000630943,-0.1703947548357359,-0.6733178461317022,0.2001601427092845,1.3375163691913454,2.122144128611741,0.40788867012730606,0.9303684554520233,2.529292042351063,0.3196206020353924,1.1033738689121741,2.356286628890912,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
D_QUALITY_ONLY,756d,65,14,3.2469533534956074,1.7562684506256683,0.9538461538461539,2.1526744607698176,0.9963992426426451,4.105441977587529,-0.16410539794257015,-0.6400346598664889,0.46139698632877446,2.3426152602912094,4.1512914467000055,1.1436202761629097,1.0054576122163046,5.488449094774911,0.6022577688377022,2.0665281265737114,4.427378580417503,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,20d,229,37,0.020272351698528934,0.014802560738340409,0.5807860262008734,0.0041432135264047555,-0.010946180901805658,0.07349159334484678,-0.04653071340604747,-0.2771083923915816,0.00714576961057372,0.006266643261804443,0.034278060135253426,0.007664922972015849,0.005249102673377869,0.03529560072368,0.018400813089400444,-0.015793241956695934,0.056337945353753804,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,60d,229,37,0.09591653485202892,0.06438623382409014,0.7074235807860262,0.02178746891045812,-0.0052263640394115685,0.17244930129991873,-0.07428161610402491,-0.32250583154511814,0.013055033322903498,0.07032866953913806,0.12150440016491977,0.012262779993861885,0.07188148606405963,0.11995158363999821,0.021565005081409017,0.053649124892467245,0.13818394481159058,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,120d,223,37,0.1857168500939099,0.0923696398023297,0.7309417040358744,0.042592289525741234,-0.024130850260660974,0.28566867784763733,-0.09928273231096557,-0.48994978948780166,0.02063626232540865,0.14526977593610896,0.22616392425171084,0.02416946983441702,0.13834468921845253,0.23308901096936727,0.02954890626572053,0.12780099381309767,0.24363270637472212,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,252d,218,37,0.5040582431298398,0.29957411230528164,0.8440366972477065,0.1906723460874675,0.0325934946813865,0.695004685080247,-0.128628006817556,-0.5268040482591041,0.055582954608545315,0.395115652097091,0.6130008341625887,0.0874040964078287,0.33274621417049555,0.6753702720891841,0.06790346669272158,0.3709674484121055,0.6371490378475742,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,504d,208,36,0.8700090286645613,0.5853286173061794,0.9230769230769231,0.3075902580273969,0.15655616548625695,1.2322413595917392,-0.14420435726632289,-0.6733178461317022,0.06680720141678798,0.7390669138876569,1.0009511434414657,0.10607607692967107,0.6620999178824061,1.0779181394467166,0.10116754637188573,0.6717206377756653,1.0682974195534574,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
E_VALUATION_ONLY,756d,196,36,1.9891233941245263,0.9284255411575679,0.9540816326530612,1.0718481046525787,0.31887320300354105,2.5774458348242364,-0.14753506538037142,-0.6733178461317022,0.19064467388165807,1.6154598333164765,2.362786954932576,0.3231629157687807,1.3557240792177163,2.6225227090313363,0.4231811238024392,1.1596883914717455,2.8185583967773074,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
F_QUALITY_PLUS_VALUATION,20d,95,19,0.017923811939072123,0.006142547931355935,0.5368421052631579,0.0069577204210047455,-0.0003970680808869087,0.07556007344102468,-0.07251131347369086,-0.28476192947945167,0.0109864992582736,-0.003609726607144134,0.03945735048528838,0.010788777278062886,-0.0032221915259311347,0.03906981540407538,0.01601794950118974,-0.013471369083259764,0.04931899296140401,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
F_QUALITY_PLUS_VALUATION,60d,95,19,0.16136906955432317,0.10466755174803577,0.7473684210526316,0.07708166161562918,0.026297182033474753,0.231145582322402,-0.10149834340566409,-0.38045732698782464,0.025443228494829866,0.11150034170445663,0.21123779740418971,0.03087704200536626,0.10085006722380531,0.22188807188484105,0.04305531071195736,0.07698066055888675,0.2457574785497596,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
F_QUALITY_PLUS_VALUATION,120d,95,19,0.34557245702393086,0.21823029387428527,0.8,0.17633164090569273,0.07692371725497882,0.4622531466868024,-0.11686429553987525,-0.42911875780414366,0.04537043840384493,0.2566463977523948,0.43449851629546693,0.06283805219810516,0.22240987471564475,0.46873503933221694,0.07787754966649447,0.1929324596776017,0.49821245437026,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
F_QUALITY_PLUS_VALUATION,252d,92,19,0.8848612494334234,0.4620774434657403,0.8369565217391305,0.46876096754746166,0.1547951986322963,1.109762703748363,-0.14055054102376943,-0.6733178461317022,0.1388697989008491,0.6126764435877592,1.1570460552790875,0.19761327390905972,0.4975392325716663,1.2721832662951804,0.27190768650291425,0.35192218388771146,1.4178003149791354,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
F_QUALITY_PLUS_VALUATION,504d,69,16,1.6911072142592956,1.1842879115897498,0.9565217391304348,0.8878606542275886,0.45925522361194715,2.0467943197309273,-0.14161888138466086,-0.6733178461317022,0.19126969313608605,1.3162186157125668,2.0659958128060243,0.39333437142622624,0.9201718462638921,2.462042582254699,0.20364441870723052,1.2919641535931237,2.0902502749254674,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
