dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,analysis_type,scope,top_five_positive_return_contribution,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all,concentration_group_count,largest_group,largest_group_observation_share,herfindahl_index
FUNDAMENTAL_STATE,STABLE,60d,330,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1046985502007662,0.0633274071793426,0.6636363636363637,0.036923904136415144,0.014689768283254412,0.5333333333333333,0.24042180375294755,-0.035210207442082725,0.18661391499628566,0.019368073552275843,0.06673712603830555,0.14265997436322686,0.02866164504036377,0.04852172592165321,0.16087537447987918,0.01753474710355783,0.0025557998134417975,0.07129200845938849,0.01962215344363313,-0.001535516613105789,0.07538332488593608,0.033318361981881976,0.0836956774463038,0.024611250278723514,0.09011564513274636,-0.012765306987158226,0.03438618561732543,-0.024895496079392454,0.039277417237148705,RETURN_SENSITIVITY,TOP_1_RETURN_REMOVED,0.05742490696738519,0.011219237574482288,0.010620632956995668,0.02204515272244356,,,,
FUNDAMENTAL_STATE,DETERIORATING,60d,177,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1265335384354154,0.05807352746530925,0.6610169491525424,0.02265302294674671,-0.015958408609561214,0.4463276836158192,0.30248300513892556,-0.032258036103757215,0.2030904234031119,0.025896284971943823,0.07577681989040551,0.17729025698042528,0.028460126622006598,0.07075169025628247,0.18231538661454832,0.02772325831306927,-0.03168456334686905,0.07699060924036247,0.025921890170750656,-0.02815388178792457,0.07345992768141799,0.031180061819840788,0.08779444396398017,0.03045675134759085,0.08652415543397071,-0.06575372067622798,0.010755370140805631,-0.055174565142186646,0.006571758969631025,RETURN_SENSITIVITY,TOP_1_RETURN_REMOVED,0.05742490696738519,0.005965357860448939,-0.020027543935819958,-0.06496049699507056,,,,
FUNDAMENTAL_STATE,ALL,60d,1502,38,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.09822682243585826,0.0519623520994259,0.6478029294274301,0.029452223259884027,0.0034113978871254114,0.5099866844207723,0.2371335859674476,-0.03593489831504598,0.17473682767774118,0.008524998060012765,0.08151782623823324,0.11493581863348327,0.01844131415499808,0.06208184669206202,0.1343717981796545,0.008236828058910926,0.013308040264418612,0.04559640625534944,0.010572554133034134,0.008730017159137127,0.05017442936063093,0.039801106145528786,0.06775992007092,0.028708828671283448,0.07463146741622642,-0.008512199234752105,0.017275008615381893,-0.012750022481004025,0.020770209490791558,RETURN_SENSITIVITY,TOP_5_RETURNS_REMOVED,0.05742490696738519,0.0,0.0,0.0,,,,
FUNDAMENTAL_STATE,IMPROVING,60d,343,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.11710991686655166,0.06673415224599899,0.6501457725947521,0.04083376357519245,0.022439134705820818,0.5626822157434402,0.2516759341615918,-0.03151460578463344,0.21184296217346998,0.01757624129412587,0.08266048393006495,0.15155934980303837,0.029603936412869,0.05908620149732842,0.17513363223577488,0.014725981937184785,0.01197083897831027,0.06969668817207464,0.016522960957781805,0.008448760097940114,0.07321876705244479,0.04251859453221141,0.08689840392617465,0.026793492804749682,0.09706779868264642,0.00018169946318025154,0.04454725443216532,-0.0004808358424034964,0.04354354367862745,RETURN_SENSITIVITY,TOP_5_RETURNS_REMOVED,0.05742490696738519,0.014771800146573089,0.019027736818695407,0.05269553132266791,,,,
FUNDAMENTAL_STATE,STABLE,60d,330,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1046985502007662,0.0633274071793426,0.6636363636363637,0.036923904136415144,0.014689768283254412,0.5333333333333333,0.24042180375294755,-0.035210207442082725,0.18661391499628566,0.019368073552275843,0.06673712603830555,0.14265997436322686,0.02866164504036377,0.04852172592165321,0.16087537447987918,0.01753474710355783,0.0025557998134417975,0.07129200845938849,0.01962215344363313,-0.001535516613105789,0.07538332488593608,0.033318361981881976,0.0836956774463038,0.024611250278723514,0.09011564513274636,-0.012765306987158226,0.03438618561732543,-0.024895496079392454,0.039277417237148705,RETURN_SENSITIVITY,TOP_5_RETURNS_REMOVED,0.05742490696738519,0.011365055079916697,0.011278370396129,0.023346648912560997,,,,
FUNDAMENTAL_STATE,DETERIORATING,60d,175,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10622287235687414,0.05681839117577958,0.6571428571428571,0.00443440181685444,-0.020214746809751327,0.44,0.2350767736467527,-0.032612505860829866,0.19533157103993315,0.018892073471452973,0.06919440835282631,0.14325133636092197,0.021141142550576943,0.06478623295774333,0.14765951175600495,0.02140004595830278,-0.037509688261419004,0.04637849189512789,0.02150005034071412,-0.037705696850945235,0.04657450048465412,0.030701179870300965,0.08779444396398017,0.030445984345033882,0.08573463470107152,-0.06909387006769381,0.010755370140805631,-0.06575372067622798,0.005015705393438097,RETURN_SENSITIVITY,TOP_5_RETURNS_REMOVED,0.05742490696738519,0.00485603907635368,-0.02362614469687674,-0.06998668442077233,,,,
FUNDAMENTAL_STATE,ALL,120d,1462,38,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.20381659649884343,0.07804414082791578,0.6757865937072504,0.08193136789513879,-0.00020966418895795869,0.49794801641586867,0.4861105111887668,-0.03527552988984353,0.2797337937611457,0.018627028594267445,0.16730762045407924,0.24032557254360762,0.03681915563307545,0.13165105145801553,0.2759821415396713,0.018327493901478566,0.046009479848240796,0.11785325594203677,0.021409890203530985,0.03996798309621806,0.12389475269405952,0.0582525893910073,0.10629936236624242,0.04763410283623062,0.11556796291979925,-0.020732535235963898,0.022155726979150497,-0.01873598585498981,0.019110263491915903,RETURN_SENSITIVITY,FULL_SAMPLE,0.06364455251530117,0.0,0.0,0.0,,,,
FUNDAMENTAL_STATE,IMPROVING,120d,333,37,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.24708517089686807,0.12267516261794498,0.6876876876876877,0.10571032325923527,0.0301262141248424,0.5585585585585585,0.44742041810752425,-0.025751034919950566,0.3663788090650635,0.03637608625942291,0.1757880418283992,0.31838229996533696,0.05463041938199077,0.14000954890816616,0.35416079288557,0.030622542258604838,0.04569014043236978,0.16573050608610074,0.02868627035246741,0.04948523336839915,0.16193541315007137,0.07336694105828112,0.1744185725435472,0.05128995178877921,0.18841279448834705,-0.00977849921232362,0.059186874408042656,-0.011049743007340145,0.0665368255222536,RETURN_SENSITIVITY,FULL_SAMPLE,0.06364455251530117,0.0446310217900292,0.030335878313800357,0.06061054214268985,,,,
FUNDAMENTAL_STATE,STABLE,120d,312,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.19957865267700128,0.09307642594721266,0.6923076923076923,0.07756453146127491,0.018495860885053506,0.5224358974358975,0.43519016698683505,-0.039216444320640365,0.31481837436176396,0.035402867461008014,0.13018903245342556,0.268968272900577,0.04679205384920583,0.10786622713255786,0.29129107822144473,0.034321951417155105,0.010293506683650908,0.14483555623889893,0.02956377677479664,0.019619528982673502,0.13550953393987633,0.05619119907085479,0.13542147525277182,0.04324331390669833,0.1490237087305615,-0.03817756022972518,0.07264296698006142,-0.03123997910779555,0.04993878361884223,RETURN_SENSITIVITY,FULL_SAMPLE,0.06364455251530117,0.015032285119296884,0.018705525074011464,0.0244878810200288,,,,
FUNDAMENTAL_STATE,DETERIORATING,120d,172,36,SUPPORTED,30.0,5.0,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.24082232226885622,0.08133115690673198,0.7093023255813954,0.06116606707546395,-0.06683452023647474,0.3953488372093023,0.6408250712561202,-0.027545958697913903,0.2800733018513847,0.0522872647461693,0.1383392833663644,0.343305361171348,0.06030325189711022,0.12262794855052019,0.35901669598719227,0.05166513313384608,-0.04009759386687437,0.16242972801780228,0.056722501581252104,-0.050010036023790165,0.17234217017471806,0.03371102644366079,0.14999993298132885,0.050358575314958375,0.13597729485738985,-0.10315861098434735,0.017506995364213518,-0.09449759814677794,-0.008240876681630567,RETURN_SENSITIVITY,FULL_SAMPLE,0.06364455251530117,0.0032870160788162073,-0.06662485604751678,-0.10259917920656636,,,,
