baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption,scope,model_filter
ROBUSTNESS_EX_SEMICONDUCTOR,252d,22,11.0,1.8764375222767293,0.931108112323451,0.9090909090909091,1.2209991051528564,0.47949380952607723,2.1202617586210626,-0.15874288155902538,-0.6011331374702868,0.43227757377862486,1.0291734776706245,2.723701566882834,0.5374419428160544,0.8230513143572626,2.929823730196196,0.5040630488797737,0.8884739464723729,2.864401098081086,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_SEMICONDUCTOR,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_EX_SEMICONDUCTOR,504d,9,5.0,0.7564323797831529,0.3847083554376072,1.0,0.39605047976244645,0.3843614241922634,1.241636044384345,-0.12459783959333895,-0.5751974001876238,0.2770521619892886,0.21341014228414723,1.2994546172821586,0.34858948358904107,0.07319699194863238,1.4396677676176735,0.31084741096109975,0.14717145429939738,1.3656933052669085,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,EX_SEMICONDUCTOR,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FINANCIAL_ONLY,60d,0,,,,,,,,,,,,,,,,,,,,FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FINANCIAL_ONLY,120d,0,,,,,,,,,,,,,,,,,,,,FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FINANCIAL_ONLY,252d,0,,,,,,,,,,,,,,,,,,,,FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_FINANCIAL_ONLY,504d,0,,,,,,,,,,,,,,,,,,,,FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_NON_FINANCIAL_ONLY,60d,33,13.0,0.22120844012465485,0.1541501976284585,0.7575757575757576,0.1464883164108408,0.08797122213786412,0.2942591391940695,-0.12417291687651334,-0.3247197700050366,0.05081488368459717,0.1216112681028444,0.3208056121464653,0.062447283998648136,0.0988117634873045,0.3436051167620052,0.06981805605081783,0.08436505026505192,0.3580518299842578,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,NON_FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_NON_FINANCIAL_ONLY,120d,33,13.0,0.47739983171245104,0.38315359585171094,0.7878787878787878,0.3063943064111997,0.15840302012005392,0.6323859356383631,-0.1437601501142165,-0.42911875780414366,0.09194712270691623,0.29718347120689526,0.6576161922180068,0.1252189493712305,0.2319706909448393,0.7228289724800627,0.12982905193910516,0.22293488991180493,0.7318647735130972,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,NON_FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_NON_FINANCIAL_ONLY,252d,32,13.0,1.4347507721639343,0.5033412225629472,0.9375,0.8525624132425443,0.11985347307392868,1.6218701869653827,-0.15655059597689847,-0.6011331374702868,0.32118990289372273,0.8052185624922378,2.064282981835631,0.4322251956778346,0.5875893886353786,2.28191215569249,0.4534727985921317,0.5459440869233563,2.3235574574045126,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,NON_FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_NON_FINANCIAL_ONLY,504d,14,7.0,0.9707960474334966,0.7982708105287007,1.0,0.43294941961852873,0.38370694170986547,1.3491184462947157,-0.14544068399990362,-0.5751974001876238,0.22824265980359887,0.5234404342184428,1.4181516606485505,0.2844551784769946,0.4132638976185872,1.528328197248406,0.2209080976592009,0.5378161760214628,1.4037759188455303,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,NON_FINANCIAL_ONLY,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_PRE_2023,60d,9,4.0,-0.020414173600240042,-0.012307594178335712,0.4444444444444444,-0.009043275349908083,-0.009705107354379905,0.07243864064995884,-0.15174496868564727,-0.316091979749646,0.04485841131182813,-0.10833665977142318,0.06750831257094309,0.04509798510748805,-0.10880622441091663,0.06797787721043654,0.04818444577200484,-0.11485568731336954,0.07402734011288944,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,PRE_2023,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_PRE_2023,120d,9,4.0,0.050946221399983976,0.07302299399387402,0.6666666666666666,0.03406577200589627,0.028783288048441324,0.13738321830571773,-0.1767441615923466,-0.42911875780414366,0.06529473399111098,-0.07703145722259355,0.1789239000225615,0.06175427803023569,-0.07009216353927798,0.17198460633924595,0.07037976884927706,-0.08699812554459907,0.18889056834456702,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,PRE_2023,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_PRE_2023,252d,9,4.0,0.17022998958286759,0.22421915754896005,0.8888888888888888,0.12376439651677794,0.03307942411632814,0.2876934432434257,-0.1814374585617861,-0.4713584305290992,0.06357726214882652,0.04561855577116762,0.29484142339456754,0.07557826264738135,0.02209659479400014,0.31836338437173506,0.06507705592757931,0.042678959964812135,0.29778101920092304,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,PRE_2023,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_PRE_2023,504d,9,4.0,0.559276734494265,0.3847083554376072,1.0,0.15040084225588277,0.375592779956474,0.7656776054376885,-0.1814374585617861,-0.4713584305290992,0.14466298253370719,0.27573728872819886,0.8428161802603311,0.24474604504672767,0.07957448620267871,1.038978982785851,0.09296510332887327,0.3770651319696734,0.7414883370188565,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,PRE_2023,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_2023_AND_LATER,60d,24,11.0,0.3118169202714904,0.24071169327535258,0.875,0.20481266332112166,0.13835059665708183,0.37744182614811095,-0.11383339744808811,-0.3247197700050366,0.05803856293024363,0.19806133692821287,0.4255725036147679,0.07158465748319676,0.17151099160442473,0.45212284893855603,0.06923202371064306,0.17612215379862997,0.4475116867443508,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,2023_AND_LATER,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_2023_AND_LATER,120d,24,11.0,0.6373199355796262,0.5621127040535023,0.8333333333333334,0.4085175068131884,0.3873343504904465,0.8180119546381052,-0.1313911458099177,-0.35694053935358183,0.10742537881712239,0.4267661930980663,0.8478736780611861,0.140045892498349,0.3628299862828621,0.9118098848763903,0.13000748945651358,0.3825052562448596,0.8921346149143927,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,2023_AND_LATER,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_2023_AND_LATER,252d,23,11.0,1.929563252304352,1.2416438931201026,0.9565217391304348,1.137744245874366,0.18388590860907872,2.143939347552235,-0.14681225844368156,-0.6011331374702868,0.4026203694231076,1.1404273282350612,2.718699176373643,0.5576904503628517,0.8364899695931627,3.0226365350155415,0.46876351722192416,1.0107867585493806,2.8483397460593234,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,2023_AND_LATER,GOOD + IMPROVING + LOW/NORMAL
ROBUSTNESS_2023_AND_LATER,504d,5,4.0,1.7115308107241134,1.150207187961969,1.0,0.9415368588712916,0.6007617308875968,2.3993119598373647,-0.08064648978851516,-0.5751974001876238,0.4305167263948653,0.8677180269901774,2.5553435944580496,0.48431300487198115,0.7622773211750303,2.6607843002731966,0.32877483665373564,1.0671321308827917,2.355929490565435,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS,2023_AND_LATER,GOOD + IMPROVING + LOW/NORMAL
